featureName,parm37,parm37_lgg,parm37_gbm,parm37_conjugate,parm46,parm46_lgg,parm46_gbm,parm46_conjugate,parm55,parm55_lgg,parm55_gbm,parm55_conjugate,parm64,parm64_lgg,parm64_gbm,parm64_conjugate,parm73,parm73_lgg,parm73_gbm,parm73_conjugate
log.sigma.5.mm.3D_firstorder_RootMeanSquared,58,53,51,48,53,50,45,42,55,46,35,30,37,25,22,14,36,21,16,8
wavelet.LHH_gldm_LargeDependenceEmphasis,6,4,4,3,5,4,2,2,3,1,2,1,3,1,2,0,0,0,0,0
log.sigma.5.mm.3D_glrlm_GrayLevelNonUniformityNormalized,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
logarithm_glrlm_ShortRunEmphasis,13,12,13,12,26,21,21,18,32,25,26,22,38,26,24,16,41,26,17,11
lbp.3D.k_firstorder_10Percentile,78,67,74,64,131,110,116,99,209,169,166,134,243,168,164,114,288,176,168,106
wavelet.HLH_glcm_Imc1,6,5,6,5,5,4,4,3,6,4,3,1,9,7,5,5,1,0,0,0
wavelet.LHL_glrlm_GrayLevelVariance,2,2,2,2,1,1,1,1,6,5,6,5,2,2,1,1,1,1,1,1
exponential_firstorder_Energy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
log.sigma.5.mm.3D_glrlm_LongRunHighGrayLevelEmphasis,11,9,11,9,27,18,24,17,30,23,19,14,25,17,19,13,24,7,11,3
wavelet.HLL_firstorder_Mean,3,3,2,2,11,8,10,7,7,4,2,1,9,7,6,6,10,7,5,4
wavelet.LLL_glcm_SumEntropy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wavelet.HLH_gldm_DependenceNonUniformityNormalized,101,85,89,77,151,121,127,106,236,193,173,140,326,243,234,173,387,264,218,151
gradient_glcm_DifferenceAverage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wavelet.HHH_firstorder_Energy,6,4,5,4,5,5,3,3,0,0,0,0,0,0,0,0,0,0,0,0
wavelet.LLH_firstorder_90Percentile,22,14,17,13,20,11,12,7,28,17,19,11,11,8,8,5,6,5,4,3
gradient_glcm_Imc1,376,275,334,253,637,494,548,436,789,619,621,500,937,672,670,476,968,635,565,379
